Time,Phase,Pressure,Altitude,Heading,Roll,Pitch,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1765794902.92,0,1014.77,-12.64,0.00,-24.75,126.88,-4.10,-7.14,-5.34,0.00,0.00,0.00,-15.25,13.06,-26.56
1765794903.04,0,1014.77,-12.64,0.00,-24.75,126.88,-4.10,-7.14,-5.36,0.00,0.00,-0.00,-16.00,13.38,-25.75
1765794903.15,0,1014.77,-12.65,0.00,-24.75,126.88,-4.10,-7.13,-5.35,0.00,0.00,0.00,-16.00,14.56,-25.38
1765794903.27,0,1014.77,-12.65,0.00,-24.75,126.88,-4.10,-7.13,-5.34,0.00,-0.00,0.00,-15.56,13.75,-25.38
1765794903.38,0,1014.77,-12.66,0.00,-24.75,126.88,-4.11,-7.16,-5.35,-0.00,0.00,-0.00,-15.25,14.88,-26.25
1765794903.50,0,1014.77,-12.67,0.00,-24.75,126.88,-4.10,-7.15,-5.37,0.00,0.00,-0.00,-15.25,14.56,-26.56
1765794903.61,0,1014.77,-12.65,0.00,-24.75,126.88,-4.13,-7.14,-5.34,0.00,-0.00,0.00,-16.00,13.38,-26.56
1765794903.73,0,1014.77,-12.65,0.00,-24.75,126.88,-4.11,-7.15,-5.38,-0.00,0.00,-0.00,-16.75,14.19,-25.75
1765794903.84,0,1014.77,-12.66,0.00,-24.75,126.88,-4.10,-7.16,-5.39,0.00,-0.00,0.00,-15.25,14.88,-25.75
1765794903.96,0,1014.77,-12.66,0.00,-24.75,126.88,-4.08,-7.16,-5.36,0.00,0.00,0.00,-15.56,14.19,-26.56
1765794904.08,0,1014.77,-12.66,0.00,-24.75,126.88,-4.09,-7.14,-5.33,0.00,0.00,0.00,-16.00,14.56,-26.25
1765794904.19,0,1014.77,-12.65,0.00,-24.75,126.88,-4.10,-7.14,-5.33,0.00,-0.00,-0.00,-15.25,14.56,-26.25
1765794904.31,0,1014.77,-12.66,0.00,-24.75,126.88,-4.10,-7.14,-5.36,0.00,0.00,0.00,-16.38,14.19,-25.75
1765794904.42,0,1014.77,-12.67,0.00,-24.75,126.88,-4.14,-7.16,-5.37,0.00,0.00,-0.00,-16.75,14.56,-26.25
1765794904.54,0,1014.77,-12.67,0.00,-24.75,126.88,-4.13,-7.15,-5.35,0.00,0.00,0.00,-16.00,14.19,-25.38
1765794904.66,0,1014.77,-12.68,0.00,-24.75,126.88,-4.09,-7.11,-5.37,0.00,0.00,0.00,-15.25,14.19,-27.38
1765794904.78,0,1014.77,-12.66,0.00,-24.75,126.88,-4.10,-7.14,-5.36,-0.00,0.00,0.00,-15.56,13.38,-26.56
