Time,Phase,Pressure,Altitude,Heading,Roll,Pitch,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1765366818.02,0,1019.26,-49.96,192.00,2.44,1.25,0.57,-0.06,9.55,0.16,-0.39,-0.06,17.00,-31.25,-39.69
1765366818.14,0,1019.26,-49.95,192.31,2.94,0.75,0.63,0.01,9.56,-0.09,0.23,-0.04,16.56,-30.88,-40.19
1765366818.25,0,1019.26,-49.92,192.56,0.44,1.56,0.07,-0.18,9.46,-0.06,0.47,-0.03,16.56,-31.25,-40.19
1765366818.37,0,1019.26,-49.93,192.75,-1.31,0.94,-0.35,-0.07,9.35,0.16,0.00,-0.02,20.25,-31.56,-39.75
1765366818.48,0,1019.26,-49.95,192.81,0.44,0.62,0.04,-0.01,9.50,-0.05,-0.51,0.00,18.75,-30.50,-39.38
1765366818.60,0,1019.26,-49.95,192.75,3.44,0.88,0.65,-0.11,9.50,0.06,-0.32,0.01,16.56,-31.25,-39.75
1765366818.71,0,1019.26,-49.95,192.62,3.56,0.06,0.63,0.03,9.52,0.10,0.29,0.02,16.25,-33.06,-40.69
1765366818.83,0,1019.26,-49.95,192.44,0.81,0.31,0.03,-0.10,9.26,-0.11,0.48,0.04,15.88,-32.38,-41.00
1765366818.94,0,1019.26,-49.95,192.12,-0.88,0.44,-0.32,-0.12,9.25,0.12,-0.02,0.05,16.56,-30.88,-39.00
1765366819.05,0,1019.26,-49.96,191.75,0.88,-0.31,0.08,0.01,9.42,0.05,-0.47,0.07,18.50,-32.00,-38.19
1765366819.17,0,1019.26,-49.95,191.25,3.44,0.06,0.63,-0.06,9.52,-0.09,-0.24,0.08,17.38,-34.19,-39.38
1765366819.28,0,1019.26,-49.93,190.69,3.25,0.06,0.56,-0.07,9.37,0.11,0.34,0.09,13.69,-32.75,-40.19
1765366819.39,0,1019.26,-49.92,190.06,0.19,-0.19,0.03,0.01,9.41,-0.06,0.48,0.10,15.88,-33.06,-38.50
1765366819.51,0,1019.26,-49.92,189.38,-1.31,0.56,-0.29,-0.14,9.38,-0.11,-0.04,0.12,16.56,-33.50,-38.50
1765366819.62,0,1019.26,-49.93,188.56,0.44,0.56,0.12,-0.08,9.50,0.09,-0.45,0.13,17.38,-33.50,-38.88
1765366819.74,0,1019.26,-49.93,187.75,2.81,0.31,0.67,0.01,9.70,-0.05,-0.24,0.14,13.25,-33.50,-40.19
1765366819.85,0,1019.26,-49.93,186.88,2.44,1.00,0.53,-0.09,9.46,-0.08,0.35,0.15,13.25,-33.50,-40.56
1765366819.97,0,1019.26,-49.93,185.94,-0.50,1.00,0.00,-0.06,9.41,0.05,0.45,0.15,13.25,-33.75,-40.19
1765366820.08,0,1019.26,-49.93,185.06,-1.81,0.88,-0.28,-0.06,9.36,-0.06,-0.08,0.15,14.75,-32.75,-38.50
1765366820.19,0,1019.26,-49.94,184.06,-0.06,1.12,0.18,-0.11,9.53,0.01,-0.44,0.16,13.25,-32.38,-39.38
1765366820.31,0,1019.26,-49.95,182.94,2.19,0.88,0.62,0.00,9.21,-0.01,-0.17,0.16,10.75,-34.56,-39.38
1765366820.42,0,1019.26,-49.95,181.94,1.69,1.50,0.42,-0.12,9.09,-0.13,0.34,0.17,11.50,-34.56,-39.38
1765366820.54,0,1019.26,-49.94,180.94,-0.88,1.62,-0.09,-0.11,9.33,0.06,0.35,0.16,10.50,-33.50,-39.38
1765366820.65,0,1019.26,-49.95,179.94,-1.50,1.19,-0.29,-0.03,9.41,0.03,-0.14,0.16,9.69,-33.75,-39.38
1765366820.76,0,1019.26,-49.96,178.94,0.94,1.12,0.20,-0.12,10.05,0.05,-0.58,0.16,9.69,-33.56,-38.06
1765366820.88,0,1019.26,-49.95,177.75,4.06,0.06,0.71,-0.06,9.71,0.25,-0.26,0.16,5.56,-34.25,-38.06
1765366820.99,0,1019.26,-49.95,176.75,3.56,-1.06,0.50,-0.03,9.33,0.15,0.37,0.16,3.38,-35.75,-37.19
1765366821.11,0,1019.27,-49.97,175.75,0.94,-1.56,-0.16,-0.09,9.40,0.14,0.35,0.15,3.75,-35.88,-34.69
1765366821.22,0,1019.27,-49.98,174.69,0.12,-2.06,-0.32,-0.01,9.06,0.12,-0.24,0.16,4.06,-36.56,-34.25
1765366821.34,0,1019.27,-49.98,173.75,2.69,-1.75,0.30,-0.02,9.33,-0.08,-0.55,0.16,1.56,-36.00,-35.19
1765366821.45,0,1019.27,-49.98,172.88,4.94,-1.12,0.83,-0.09,9.47,-0.04,-0.03,0.15,-0.19,-35.56,-33.88
1765366821.56,0,1019.27,-49.98,171.81,2.81,-1.06,0.45,0.00,9.61,0.05,0.63,0.15,0.50,-37.06,-35.19
1765366821.67,0,1019.27,-49.98,170.88,-1.06,-0.62,-0.22,-0.01,9.45,-0.18,0.48,0.15,1.56,-37.75,-35.19
1765366821.79,0,1019.27,-49.98,169.81,-2.00,0.44,-0.27,-0.20,9.55,-0.09,-0.20,0.16,2.25,-36.00,-35.19
1765366821.95,0,1019.27,-49.98,168.56,1.50,0.31,0.65,0.02,9.63,-0.05,-0.34,0.15,0.06,-37.06,-35.50
1765366822.07,0,1019.27,-49.98,167.50,1.88,1.31,0.65,-0.11,9.47,-0.17,0.34,0.15,-1.69,-35.25,-36.38
1765366822.19,0,1019.27,-49.99,166.62,-1.12,1.44,-0.04,-0.10,9.54,0.08,0.56,0.15,-0.56,-35.56,-38.38
1765366822.31,0,1019.27,-49.99,165.69,-3.12,1.12,-0.39,0.00,9.43,-0.09,-0.08,0.15,0.50,-34.88,-37.19
1765366822.42,0,1019.27,-49.97,164.69,-0.56,1.75,0.15,-0.19,9.37,-0.06,-0.58,0.15,0.50,-35.56,-36.38
1765366822.54,0,1019.27,-49.97,163.69,2.69,1.00,0.70,0.00,9.27,0.18,-0.27,0.14,-3.88,-36.00,-38.00
1765366822.66,0,1019.27,-49.97,162.75,2.12,0.69,0.53,0.00,9.71,-0.11,0.40,0.14,-3.06,-36.19,-37.06
1765366822.78,0,1019.27,-49.96,161.94,-1.06,1.12,-0.14,-0.18,10.99,0.10,0.41,0.13,0.19,-36.56,-38.00
1765366822.90,0,1019.26,-49.95,161.19,-1.62,-0.06,-0.25,0.07,10.22,0.10,-0.26,0.12,-1.56,-36.56,-37.56
1765366823.02,0,1019.27,-49.96,160.38,1.38,0.62,0.35,-0.13,8.94,-0.27,-0.54,0.12,-3.06,-36.56,-38.00
1765366823.14,0,1019.26,-49.91,159.62,3.75,1.25,0.69,-0.19,9.08,0.19,-0.04,0.10,-4.88,-34.38,-38.00
1765366823.25,0,1019.26,-49.91,159.00,2.25,-0.12,0.32,0.07,8.86,0.10,0.45,0.08,-6.75,-34.00,-38.75
1765366823.37,0,1019.25,-49.87,158.50,-0.50,0.56,-0.18,-0.17,9.11,-0.19,0.36,0.08,-5.25,-35.19,-37.06
1765366823.49,0,1019.25,-49.86,158.06,-0.75,0.25,-0.21,-0.11,9.65,0.28,-0.26,0.07,-3.75,-33.25,-37.50
1765366823.60,0,1019.25,-49.85,157.69,1.94,-1.12,0.42,0.14,9.89,0.05,-0.51,0.06,-5.75,-34.00,-36.19
1765366823.71,0,1019.25,-49.85,157.38,3.75,-0.06,0.79,-0.15,10.18,-0.20,0.03,0.04,-8.69,-33.69,-36.69
1765366823.83,0,1019.25,-49.82,157.19,1.56,0.00,0.33,-0.02,9.91,0.18,0.56,0.02,-8.00,-33.69,-36.19
1765366823.94,0,1019.24,-49.78,157.12,-1.50,-0.38,-0.32,0.00,9.01,-0.15,0.33,0.01,-6.19,-33.00,-36.69
1765366824.06,0,1019.24,-49.78,157.06,-1.62,0.81,-0.21,-0.23,8.72,-0.07,-0.30,-0.01,-5.38,-31.88,-37.88
1765366824.17,0,1019.24,-49.73,157.19,1.31,-0.12,0.31,-0.01,8.87,0.28,-0.53,-0.02,-7.19,-31.88,-36.69
1765366824.29,0,1019.24,-49.73,157.31,3.44,-0.75,0.75,0.05,9.27,-0.14,-0.04,-0.03,-6.19,-33.06,-35.25
1765366824.40,0,1019.24,-49.72,157.62,1.69,0.38,0.36,-0.22,9.27,-0.06,0.52,-0.05,-8.00,-31.56,-37.38
1765366824.51,0,1019.24,-49.72,158.00,-1.19,-0.31,-0.31,0.00,9.33,0.21,0.32,-0.07,-6.50,-32.69,-36.88
1765366824.63,0,1019.23,-49.71,158.50,-0.75,-0.31,-0.23,-0.02,9.33,-0.19,-0.42,-0.08,-4.69,-31.88,-35.69
1765366824.74,0,1019.24,-49.71,159.12,2.62,0.56,0.45,-0.22,9.56,-0.00,-0.57,-0.11,-4.69,-33.38,-36.88
1765366824.86,0,1019.24,-49.72,159.81,4.31,-0.44,0.74,0.06,9.64,0.15,0.09,-0.13,-8.38,-32.25,-35.69
1765366824.97,0,1019.23,-49.70,160.75,1.88,-0.12,0.30,-0.02,9.52,-0.24,0.57,-0.14,-7.19,-31.88,-35.19
1765366825.09,0,1019.24,-49.71,161.69,-1.00,0.69,-0.33,-0.21,9.30,0.08,0.24,-0.15,-3.19,-33.06,-37.75
1765366825.20,0,1019.24,-49.73,162.75,-0.44,-0.38,-0.13,0.05,9.42,0.14,-0.39,-0.17,-4.25,-32.25,-36.56
1765366825.32,0,1019.24,-49.73,163.81,2.50,0.06,0.57,-0.08,9.51,-0.21,-0.43,-0.18,-3.88,-32.69,-37.38
1765366825.43,0,1019.24,-49.74,165.12,3.50,0.44,0.68,-0.15,9.38,0.13,0.17,-0.21,-5.00,-32.69,-37.00
