Timestamp,Pressure_hPa,Temp_C,Altitude_m,Heading,Roll,Pitch,AccelX,AccelY,AccelZ
1765363381.68,1019.60,26.48,-52.71,0.00,0.00,0.00,2.29,1.88,8.74
1765363381.81,1019.60,26.49,-52.73,0.31,1.31,1.25,2.56,1.28,9.01
1765363381.94,1019.60,26.50,-52.74,0.56,2.19,3.88,3.18,1.10,9.05
1765363382.09,1019.59,26.50,-52.69,359.31,1.25,6.19,1.77,-0.18,8.40
1765363382.21,1019.60,26.51,-52.71,359.81,1.25,7.19,2.64,0.38,8.67
1765363382.33,1019.60,26.52,-52.71,0.00,2.44,7.06,3.15,0.34,8.91
1765363382.45,1019.59,26.52,-52.62,359.19,3.25,6.12,2.87,0.76,9.46
1765363382.56,1019.59,26.53,-52.64,359.56,17.75,-3.25,3.09,-0.11,8.61
1765363382.68,1019.59,26.53,-52.64,359.12,17.50,-3.06,2.12,0.03,8.37
1765363382.80,1019.59,26.53,-52.64,359.38,18.06,-4.31,2.94,0.55,9.23
1765363382.91,1019.59,26.53,-52.63,359.50,18.38,-4.12,3.23,0.44,8.69
1765363383.04,1019.59,26.53,-52.63,359.00,18.31,-4.56,2.77,0.62,8.27
1765363383.16,1019.59,26.55,-52.63,359.94,19.19,-6.31,4.53,0.57,9.29
1765363383.28,1019.59,26.55,-52.61,359.44,18.25,-5.62,2.97,1.05,9.50
1765363383.41,1019.59,26.55,-52.61,357.69,14.06,-1.88,1.26,-0.60,9.46
1765363383.54,1019.59,26.55,-52.65,358.25,13.81,-0.75,2.53,0.35,8.77
1765363383.65,1019.59,26.55,-52.65,358.81,14.44,-1.00,2.56,0.22,9.75
1765363383.76,1019.59,26.55,-52.66,358.81,14.94,-0.31,3.02,-0.26,9.30
1765363383.87,1019.59,26.56,-52.67,358.75,15.25,-0.31,2.96,0.08,9.16
1765363383.98,1019.59,26.56,-52.64,358.19,14.56,0.25,0.63,1.18,8.59
1765363384.09,1019.59,26.56,-52.65,358.56,13.81,0.50,2.42,-0.55,9.11
1765363384.20,1019.59,26.57,-52.65,357.94,13.06,0.94,1.71,-0.47,9.41
1765363384.31,1019.59,26.57,-52.65,357.88,13.00,1.00,2.22,-0.25,9.21
1765363384.42,1019.59,26.57,-52.66,358.69,13.12,0.94,2.71,-0.04,9.76
1765363384.53,1019.59,26.57,-52.65,357.19,12.75,1.31,1.43,-0.88,9.57
1765363384.64,1019.59,26.58,-52.66,357.75,12.94,1.38,2.64,0.30,8.97
1765363384.75,1019.59,26.58,-52.66,357.50,12.50,1.50,1.39,0.82,8.09
1765363384.86,1019.59,26.59,-52.67,357.38,13.06,1.12,1.96,-0.58,8.92
1765363384.97,1019.59,26.59,-52.66,358.56,13.56,0.75,3.90,-0.28,10.19
1765363385.08,1019.59,26.59,-52.67,357.38,12.62,1.38,2.03,-0.50,10.19
1765363385.20,1019.59,26.59,-52.68,357.50,13.00,1.88,2.77,0.07,8.93
1765363385.31,1019.59,26.60,-52.69,357.94,12.88,1.31,2.05,-1.23,9.44
1765363385.42,1019.60,26.60,-52.70,358.00,12.31,2.12,2.50,-0.35,9.51
1765363385.53,1019.60,26.60,-52.71,357.69,12.38,2.75,2.49,-0.39,8.99
1765363385.64,1019.60,26.60,-52.72,358.44,12.12,2.31,2.01,-0.33,9.42
1765363385.75,1019.60,26.60,-52.72,359.69,10.62,3.75,1.81,-0.77,8.79
1765363385.86,1019.60,26.61,-52.73,0.12,8.56,6.19,0.90,-1.61,8.71
1765363385.97,1019.60,26.61,-52.75,359.44,8.56,6.25,1.81,-0.51,9.33
1765363386.08,1019.60,26.61,-52.76,359.31,8.31,6.25,1.03,-0.64,8.27
1765363386.19,1019.60,26.61,-52.76,359.44,7.44,6.38,1.18,-1.11,9.61
1765363386.31,1019.60,26.62,-52.77,0.88,7.94,6.81,1.35,-1.34,8.89
1765363386.42,1019.60,26.62,-52.73,2.50,7.31,7.12,2.19,-1.22,8.94
1765363386.54,1019.60,26.62,-52.74,3.69,8.12,5.94,0.97,-1.17,9.54
1765363386.64,1019.60,26.62,-52.70,5.50,8.81,5.31,1.66,-1.06,9.15
1765363386.75,1019.60,26.62,-52.70,7.56,9.06,4.50,1.62,-1.29,9.27
1765363386.86,1019.60,26.62,-52.71,6.94,8.94,4.00,1.06,0.90,9.43
1765363386.98,1019.60,26.62,-52.72,6.25,9.50,3.94,2.16,0.16,9.44
1765363387.09,1019.59,26.62,-52.68,6.81,9.88,5.12,2.33,-0.28,9.35
1765363387.20,1019.59,26.63,-52.69,7.38,9.62,5.56,1.01,-1.18,9.28
1765363387.30,1019.59,26.63,-52.68,8.31,9.56,5.81,1.03,-1.16,9.24
1765363387.41,1019.60,26.63,-52.71,9.38,9.81,4.75,2.61,-1.20,9.31
1765363387.53,1019.60,26.64,-52.72,9.25,11.19,3.12,2.08,-1.06,8.68
1765363387.64,1019.59,26.64,-52.69,7.00,11.00,4.62,-0.35,-0.93,8.45
1765363387.75,1019.59,26.64,-52.69,7.75,10.94,5.19,1.64,-0.35,9.69
1765363387.86,1019.59,26.64,-52.67,8.94,10.75,5.25,1.20,-0.73,9.32
1765363387.97,1019.59,26.65,-52.68,10.06,10.62,4.88,1.80,-0.01,9.22
1765363388.08,1019.60,26.65,-52.72,10.38,11.06,4.38,1.73,-0.19,9.51
1765363388.19,1019.60,26.65,-52.72,8.94,11.31,4.62,1.47,-0.62,8.79
1765363388.30,1019.60,26.65,-52.72,7.88,10.69,6.94,1.24,-2.26,9.28
1765363388.41,1019.60,26.65,-52.73,9.50,10.88,7.50,2.23,-1.17,8.49
1765363388.52,1019.60,26.65,-52.74,11.00,9.69,6.38,1.63,0.85,9.81
