Time,Lat,Lon,Heading,TargetDist,TargetBear,MotorL,MotorR,Fix
1765531362.81,0,0,299.25,0.00,0.00,0.00,0.00,0
1765531363.02,0,0,299.19,0.00,0.00,0.00,0.00,0
1765531363.22,0,0,299.19,0.00,0.00,0.00,0.00,0
1765531363.43,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531363.65,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531363.85,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531364.06,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531364.27,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531364.48,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531364.69,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531364.89,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531365.10,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531365.31,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531365.52,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531365.73,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531365.94,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531366.14,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531366.35,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531366.56,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531366.77,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531366.98,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531367.19,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531367.39,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531367.60,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531367.81,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531368.02,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531368.23,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531368.44,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531368.65,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531368.85,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531369.06,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531369.28,0,0,299.06,0.00,0.00,0.00,0.00,0
1765531369.48,0,0,299.06,0.00,0.00,0.00,0.00,0
1765531369.69,0,0,299.06,0.00,0.00,0.00,0.00,0
1765531369.90,0,0,299.00,0.00,0.00,0.00,0.00,0
1765531370.11,0,0,299.00,0.00,0.00,0.00,0.00,0
1765531370.32,0,0,299.00,0.00,0.00,0.00,0.00,0
1765531370.53,0,0,299.00,0.00,0.00,0.00,0.00,0
1765531370.74,0,0,298.94,0.00,0.00,0.00,0.00,0
1765531370.94,0,0,298.94,0.00,0.00,0.00,0.00,0
1765531371.15,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531371.36,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531371.57,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531371.78,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531371.99,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531372.19,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531372.40,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531372.61,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531372.82,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531373.03,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531373.24,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531373.45,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531373.66,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531373.87,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531374.07,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531374.28,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531374.49,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531374.70,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531374.91,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531375.12,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531375.33,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531375.54,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531375.75,0,0,300.38,0.00,0.00,0.00,0.00,0
1765531375.96,0,0,300.38,0.00,0.00,0.00,0.00,0
1765531376.17,0,0,299.94,0.00,0.00,0.00,0.00,0
1765531376.38,0,0,299.94,0.00,0.00,0.00,0.00,0
