Timestamp,Pressure_hPa,Temp_C,Altitude_m,Heading,Roll,Pitch,AccelX,AccelY,AccelZ
1765363002.51,1019.57,30.61,-52.45,0.00,0.00,0.00,-2.11,-3.77,-8.93
1765363002.62,1019.57,30.62,-52.47,238.62,-12.31,157.00,-2.12,-3.75,-8.90
1765363002.74,1019.57,30.62,-52.46,238.62,-12.31,157.00,-2.09,-3.75,-8.90
1765363002.85,1019.57,30.63,-52.46,238.62,-12.31,157.00,-2.11,-3.77,-8.93
1765363002.96,1019.57,30.63,-52.46,238.62,-12.31,157.00,-2.12,-3.77,-8.92
1765363003.07,1019.57,30.64,-52.47,238.62,-12.31,157.00,-2.12,-3.77,-8.91
1765363003.18,1019.57,30.64,-52.45,238.62,-12.31,157.00,-2.13,-3.76,-8.92
1765363003.29,1019.57,30.64,-52.46,238.62,-12.31,157.00,-2.12,-3.77,-8.92
1765363003.40,1019.57,30.64,-52.46,238.62,-12.31,157.00,-2.12,-3.78,-8.91
1765363003.51,1019.57,30.64,-52.47,238.62,-12.31,157.00,-2.11,-3.76,-8.90
1765363003.62,1019.57,30.64,-52.47,238.62,-12.31,157.00,-2.12,-3.76,-8.90
1765363003.73,1019.57,30.64,-52.46,238.62,-12.31,157.00,-2.07,-3.72,-8.82
1765363003.84,1019.57,30.64,-52.47,238.62,-12.31,157.00,-2.09,-3.73,-8.84
1765363003.95,1019.57,30.64,-52.46,238.62,-12.31,157.00,-2.09,-3.73,-8.83
1765363004.06,1019.57,30.64,-52.46,238.62,-12.31,157.00,-2.11,-3.71,-8.82
1765363004.18,1019.57,30.64,-52.45,238.62,-12.31,157.00,-2.09,-3.72,-8.83
1765363004.29,1019.57,30.66,-52.47,238.62,-12.31,157.00,-2.10,-3.74,-8.85
1765363004.40,1019.57,30.66,-52.47,238.62,-12.31,157.00,-2.11,-3.73,-8.82
1765363004.51,1019.57,30.65,-52.46,238.62,-12.31,157.00,-2.10,-3.74,-8.81
1765363004.62,1019.57,30.65,-52.47,238.62,-12.31,157.00,-2.10,-3.73,-8.83
1765363004.74,1019.57,30.65,-52.46,238.62,-12.31,157.00,-2.06,-3.73,-8.84
1765363004.85,1019.57,30.66,-52.47,238.62,-12.31,157.00,-2.08,-3.71,-8.82
1765363004.96,1019.57,30.66,-52.46,238.62,-12.31,157.00,-2.11,-3.71,-8.84
1765363005.07,1019.57,30.66,-52.46,238.62,-12.31,157.00,-2.11,-3.72,-8.82
1765363005.19,1019.57,30.66,-52.46,238.62,-12.31,157.00,-2.10,-3.71,-8.82
1765363005.30,1019.57,30.65,-52.45,238.62,-12.31,157.00,-2.10,-3.77,-8.78
1765363005.42,1019.56,30.65,-52.44,238.62,-12.25,156.94,-2.06,-3.73,-8.80
1765363005.53,1019.57,30.66,-52.45,238.56,-12.00,157.06,-2.06,-3.61,-8.57
1765363005.64,1019.57,30.66,-52.45,238.38,-11.38,157.38,-2.01,-3.71,-9.12
1765363005.76,1019.56,30.66,-52.44,238.19,-11.12,157.38,-1.89,-3.74,-8.88
1765363005.87,1019.56,30.65,-52.43,238.38,-11.56,156.69,-2.07,-3.69,-8.64
1765363005.98,1019.56,30.65,-52.44,238.31,-11.31,156.81,-1.92,-3.76,-8.82
