Phase,Timestamp,State,Lat,Lon,Heading,TargetAngle,Dist,Roll,Pitch,L_Speed,R_Speed,Fix,RelAlt,AccelNorm,AI_CX,ToF_Dist
3,2026-03-07 10:42:07,SCAN,0,0,0,0,0,-2,11,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:09,SCAN,0,0,0,0,0,-2,15,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:11,SCAN,0,0,0,0,0,-3,17,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:13,SCAN,0,0,0,0,0,3,15,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:15,SCAN,0,0,0,0,0,0,18,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:16,ALIGN,0,0,0,0,0,-1,18,0.00,0.00,0,0,0,0.887,0
3,2026-03-07 10:42:34,SCAN,0,0,0,0,0,-0,16,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:36,SCAN,0,0,0,0,0,-1,16,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:38,SCAN,0,0,0,0,0,-2,15,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:40,SCAN,0,0,0,0,0,-3,16,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:42,SCAN,0,0,0,0,0,-3,11,0.00,0.00,0,0,0,,0
3,2026-03-07 10:42:43,ALIGN,0,0,0,0,0,-2,12,0.00,0.00,0,0,0,0.917,0
3,2026-03-07 10:43:01,SCAN,0,0,0,0,0,1,10,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:03,SCAN,0,0,0,0,0,-0,12,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:05,SCAN,0,0,0,0,0,-1,14,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:07,SCAN,0,0,0,0,0,-2,10,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:09,SCAN,0,0,0,0,0,-2,14,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:12,SCAN,0,0,0,0,0,-2,16,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:14,SCAN,0,0,0,0,0,-2,16,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:16,SCAN,0,0,0,0,0,-3,14,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:18,SCAN,0,0,0,0,0,-2,12,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:20,SCAN,0,0,0,0,0,-1,14,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:22,SCAN,0,0,0,0,0,-1,15,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:23,ALIGN,0,0,0,0,0,-2,15,0.00,0.00,0,0,0,0.902,0
3,2026-03-07 10:43:41,SCAN,0,0,0,0,0,2,14,0.00,0.00,0,0,0,,0
3,2026-03-07 10:43:42,ALIGN,0,0,0,0,0,-1,12,0.00,0.00,0,0,0,0.480,0
