Phase,Timestamp,State,Lat,Lon,Heading,TargetAngle,Dist,Roll,Pitch,L_Speed,R_Speed,Fix,RelAlt,AccelNorm,AI_CX,ToF_Dist
1,2026-03-07 11:25:28,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.10,10.27,,24.6
1,2026-03-07 11:25:28,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.10,9.86,,0
1,2026-03-07 11:25:28,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.11,9.64,,0
1,2026-03-07 11:25:28,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.11,9.69,,0
1,2026-03-07 11:25:28,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.12,9.51,,16.3
1,2026-03-07 11:25:28,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.13,9.25,,14.4
1,2026-03-07 11:25:28,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.16,9.41,,11.6
1,2026-03-07 11:25:28,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.16,10.25,,9.2
1,2026-03-07 11:25:28,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.21,9.66,,7.7
1,2026-03-07 11:25:29,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.25,8.95,,6.5
1,2026-03-07 11:25:29,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.26,10.03,,4.4
1,2026-03-07 11:25:29,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.30,10.23,,3.4
1,2026-03-07 11:25:29,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.30,11.11,,1.4
1,2026-03-07 11:25:29,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.33,9.53,,0.4
1,2026-03-07 11:25:29,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.33,10.05,,0
1,2026-03-07 11:25:29,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.34,9.97,,0.2
1,2026-03-07 11:25:29,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.33,9.90,,0
1,2026-03-07 11:25:29,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.35,9.86,,0
1,2026-03-07 11:25:30,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.35,9.83,,0
1,2026-03-07 11:25:30,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.35,9.89,,0
1,2026-03-07 11:25:30,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.35,9.86,,0
1,2026-03-07 11:25:30,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.38,9.84,,0
1,2026-03-07 11:25:30,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.39,9.84,,0
1,2026-03-07 11:25:30,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.41,9.86,,0
1,2026-03-07 11:25:30,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.39,9.85,,0
1,2026-03-07 11:25:30,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.40,9.88,,0
1,2026-03-07 11:25:30,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.41,9.86,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.42,9.85,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.39,9.86,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.39,9.86,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.36,9.88,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.37,9.88,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.39,9.84,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.39,9.84,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.39,9.85,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.40,9.84,,0
1,2026-03-07 11:25:31,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.37,10.11,,0
1,2026-03-07 11:25:32,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.36,10.48,,0
1,2026-03-07 11:25:32,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.35,11.43,,0.1
1,2026-03-07 11:25:32,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.34,11.83,,1.1
1,2026-03-07 11:25:32,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.30,11.22,,4.6
1,2026-03-07 11:25:32,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.24,10.89,,10.5
1,2026-03-07 11:25:32,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.25,10.63,,0
1,2026-03-07 11:25:32,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.08,10.57,,0
1,2026-03-07 11:25:32,STANDBY,0,0,0,0,0,0,0,0,0,0,-0.07,10.84,,0
1,2026-03-07 11:25:32,STANDBY,0,0,0,0,0,0,0,0,0,0,0.08,10.14,,0
1,2026-03-07 11:25:33,STANDBY,0,0,0,0,0,0,0,0,0,0,0.08,8.86,,0
1,2026-03-07 11:25:33,STANDBY,0,0,0,0,0,0,0,0,0,0,0.27,7.81,,0
1,2026-03-07 11:25:33,STANDBY,0,0,0,0,0,0,0,0,0,0,0.27,8.35,,0
1,2026-03-07 11:25:33,STANDBY,0,0,0,0,0,0,0,0,0,0,0.40,8.46,,0
1,2026-03-07 11:25:33,STANDBY,0,0,0,0,0,0,0,0,0,0,0.40,8.83,,0
1,2026-03-07 11:25:33,STANDBY,0,0,0,0,0,0,0,0,0,0,0.42,9.46,,0
1,2026-03-07 11:25:33,STANDBY,0,0,0,0,0,0,0,0,0,0,0.42,9.88,,0
1,2026-03-07 11:25:33,STANDBY,0,0,0,0,0,0,0,0,0,0,0.43,9.18,,0
1,2026-03-07 11:25:33,STANDBY,0,0,0,0,0,0,0,0,0,0,0.42,10.33,,0
1,2026-03-07 11:25:34,STANDBY,0,0,0,0,0,0,0,0,0,0,0.40,9.45,,0.7
1,2026-03-07 11:25:34,STANDBY,0,0,0,0,0,0,0,0,0,0,0.41,10.49,,0
1,2026-03-07 11:25:34,STANDBY,0,0,0,0,0,0,0,0,0,0,0.41,9.73,,0
1,2026-03-07 11:25:34,STANDBY,0,0,0,0,0,0,0,0,0,0,0.41,9.92,,12.7
1,2026-03-07 11:25:34,STANDBY,0,0,0,0,0,0,0,0,0,0,0.41,9.92,,5.9
1,2026-03-07 11:25:34,STANDBY,0,0,0,0,0,0,0,0,0,0,0.43,9.83,,0
1,2026-03-07 11:25:34,STANDBY,0,0,0,0,0,0,0,0,0,0,0.43,9.85,,0
1,2026-03-07 11:25:34,STANDBY,0,0,0,0,0,0,0,0,0,0,0.42,10.06,,37.9
1,2026-03-07 11:25:34,STANDBY,0,0,0,0,0,0,0,0,0,0,0.42,9.87,,0
1,2026-03-07 11:25:35,STANDBY,0,0,0,0,0,0,0,0,0,0,0.42,9.66,,0
1,2026-03-07 11:25:35,STANDBY,0,0,0,0,0,0,0,0,0,0,0.42,9.74,,86.4
1,2026-03-07 11:25:35,STANDBY,0,0,0,0,0,0,0,0,0,0,0.45,9.68,,0
1,2026-03-07 11:25:35,STANDBY,0,0,0,0,0,0,0,0,0,0,0.46,9.90,,0
1,2026-03-07 11:25:35,STANDBY,0,0,0,0,0,0,0,0,0,0,0.42,9.99,,0
1,2026-03-07 11:25:35,STANDBY,0,0,0,0,0,0,0,0,0,0,0.41,10.01,,0
1,2026-03-07 11:25:35,STANDBY,0,0,0,0,0,0,0,0,0,0,0.37,10.22,,0
1,2026-03-07 11:25:35,STANDBY,0,0,0,0,0,0,0,0,0,0,0.37,9.98,,0
1,2026-03-07 11:25:35,STANDBY,0,0,0,0,0,0,0,0,0,0,0.32,10.05,,0
1,2026-03-07 11:25:36,STANDBY,0,0,0,0,0,0,0,0,0,0,0.33,9.64,,0
1,2026-03-07 11:25:36,STANDBY,0,0,0,0,0,0,0,0,0,0,0.37,10.06,,0
1,2026-03-07 11:25:36,STANDBY,0,0,0,0,0,0,0,0,0,0,0.37,10.09,,95.4
1,2026-03-07 11:25:36,STANDBY,0,0,0,0,0,0,0,0,0,0,0.38,9.94,,0
1,2026-03-07 11:25:36,STANDBY,0,0,0,0,0,0,0,0,0,0,0.45,9.76,,0
1,2026-03-07 11:25:36,STANDBY,0,0,0,0,0,0,0,0,0,0,0.44,10.05,,0
1,2026-03-07 11:25:36,STANDBY,0,0,0,0,0,0,0,0,0,0,0.47,10.44,,0
1,2026-03-07 11:25:36,STANDBY,0,0,0,0,0,0,0,0,0,0,0.48,9.68,,0
1,2026-03-07 11:25:36,STANDBY,0,0,0,0,0,0,0,0,0,0,0.47,9.84,,0
1,2026-03-07 11:25:37,STANDBY,0,0,0,0,0,0,0,0,0,0,0.47,9.82,,0
1,2026-03-07 11:25:37,STANDBY,0,0,0,0,0,0,0,0,0,0,0.47,9.76,,0
1,2026-03-07 11:25:37,STANDBY,0,0,0,0,0,0,0,0,0,0,0.48,9.76,,0
1,2026-03-07 11:25:37,STANDBY,0,0,0,0,0,0,0,0,0,0,0.45,9.94,,0
1,2026-03-07 11:25:37,STANDBY,0,0,0,0,0,0,0,0,0,0,0.44,10.34,,0
1,2026-03-07 11:25:37,STANDBY,0,0,0,0,0,0,0,0,0,0,0.42,10.25,,0
