Time,Pressure_hPa,Temp_C,Abs_Alt_m,Rel_Alt_m,State,Status_Message
2026-02-27 20:46:13.109238,1007.26,24.06,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:13.212444,1007.26,24.06,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:13.315446,1007.27,24.06,49.94,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:13.418482,1007.27,24.07,49.93,0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:13.521469,1007.27,24.07,49.93,0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:13.624385,1007.27,24.07,49.94,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:13.727394,1007.27,24.07,49.94,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:13.830373,1007.27,24.06,49.95,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:13.933625,1007.27,24.06,49.94,0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.036848,1007.27,24.06,49.93,0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.139976,1007.26,24.06,49.96,0.03,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.243090,1007.27,24.07,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.346074,1007.27,24.07,49.94,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.449030,1007.27,24.07,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.552674,1007.27,24.07,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.656216,1007.26,24.06,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.759792,1007.27,24.06,49.94,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.863398,1007.27,24.07,49.93,0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:14.967085,1007.26,24.07,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:15.070837,1007.26,24.07,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:15.174491,1007.27,24.07,49.94,0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:15.278124,1007.27,24.06,49.95,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:15.381756,1007.26,24.06,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:15.485324,1007.26,24.06,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:15.588885,1007.26,24.06,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:15.692424,1007.27,24.06,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:15.796009,1007.27,24.06,49.95,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:15.899582,1007.27,24.06,49.94,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:16.003166,1007.27,24.06,49.94,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:16.107001,1007.27,24.07,49.94,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:16.210595,1007.27,24.07,49.94,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:46:16.314261,1007.27,24.06,49.95,0.01,STANDBY,Waiting for ascent (> 12.0m)
